,IDENTIFIANT_CREDIT,IDENTIFIANT_TIERS,VILLE_RC,REGION_RC,VILLE_TIERS,REGION_TIERS,DATE_CREATION_ENTREPRISE,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,PERIODICITE,DATE_ACCORD,DUREE_CONCOURS,UNITE_DUREE_CONCOURS,DATE_PREMIER_DEBLOCAGE,CENTRE_AFFAIRE,FINALITE_CREDIT,CLASSE_RISQUE,NBRE_JOUR_IMPAYE,MONTANT_DEMANDE_MEJ,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT
0,3068790,01A1005,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,03/11/2009,4521,45,452,0,108,23,6.0,Mensuelle,16/07/2018,47.0,mois,05/05/2018,CENTRE D’AFFAIRES DE FES,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,3743239.5,1559558.0,2183681.5,5644639.0,11794532.75,0.0,0.0,0.0,25540014.5,0.0,0.0,0.0,79329.25,27803025.25,6285347.0,16196.5,14188174.0,2528275.75,718718.0,464964.5,10521010.5,1806554.75,584834.25,-152152.0,331080.75,0.0,0.0,0.0,0.0,6076570.5,1802550.75,7879121.25,2438185.75,15906640.75,4017263.25,27803025.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24637.0,0
1,3066431,01A1007,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,24/08/2010,5121,51,512,0,52,22,5.0,Mensuelle,21/06/2018,60.0,mois,07/09/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,A,,,0.0,0.0,0.0,0.0,0.0,0.0,13299035.75,2655903.25,10643132.5,7084577.5,23872348.5,0.0,0.0,0.0,38011974.0,0.0,0.0,0.0,10633122.5,59288229.0,87445.25,69499.25,120625254.75,8935426.5,5243988.75,3149646.5,104886782.0,3641888.25,4045291.25,-1059558.5,1950949.0,0.0,0.0,0.0,0.0,8281273.0,3517514.0,11798787.0,26645869.25,30767987.25,16721204.5,59287978.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241074.5,0
2,3120096,01A1125,,Autres,,Autres,,5165,51,516,2,0,1,5.5,Mensuelle,27/08/2019,7.0,an(s),21/10/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,50.0,0.0,0.0,0.5,0.0,0.0,2753500.75,275775.5,2477725.25,1986734.75,11309298.0,50.0,0.0,0.0,14182418.25,50.0,0.0,0.0,161411.25,16821554.75,8498817.75,14538.25,19491221.75,3687183.5,2375873.5,1905904.0,14913648.75,1286535.25,1520519.0,-109109.0,1050549.5,15.0,0.0,0.0,1.0,3786032.25,1651650.0,5437682.25,8157149.0,10899138.25,484734.25,16821554.75,50.0,0.0,0.0,19.9445,0.0,0.0,18.0782,50.0,0.0,0.0,0.5,38943.5,0
3,3073304,01A1326,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,27/06/2007,1725,17,172,0,50,35,5.95,Trimestrielle,29/08/2018,84.0,mois,,,Développement,,,2455534.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,3059883,01A1348,FES,Fès-Meknès,FES,Fès-Meknès,04/07/2003,4521,45,452,0,45,4,6.0,Mensuelle,13/04/2018,84.0,mois,09/07/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2529777.25,680179.5,1849597.75,892641.75,14248734.5,0.0,0.0,0.0,15984218.25,0.0,0.0,0.0,34534.5,17868350.5,5179012.25,9208.0,13204441.25,3183180.0,1018267.25,522772.25,9084575.5,2138636.5,928427.5,-586335.75,432932.5,0.0,0.0,0.0,0.0,3428675.25,772772.0,4201447.25,3540537.0,6354598.25,7312305.0,17868350.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26382.5,0
5,3038368,01A1395,MARRAKECH,Marrakech-Safi,MARRAKECH,Marrakech-Safi,08/07/1999,5147,51,514,6,20,4,6.5,Mensuelle,09/03/2018,120.0,mois,,CENTRE D’AFFAIRES DE MARRAKECH,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,541290.75,0.0,541290.75,3768765.0,7293035.75,0.0,0.0,0.0,14090326.25,0.0,0.0,0.0,163163.0,14794780.0,15621606.0,6026270.0,19161142.0,2546544.0,1343342.0,890389.5,15583317.75,1156155.0,1250749.5,-159909.75,797797.0,0.0,0.0,0.0,0.0,4520015.5,204454.25,4724469.75,3431678.25,8604095.5,1466214.75,14794780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38062.5,0
6,3051380,01A1414,BERRECHID,Casablanca-Settat,BERRECHID,Casablanca-Settat,12/07/2011,1564,15,156,1,10,22,1.0,Mensuelle,23/01/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,3083190,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,2,63,24,0.7,Mensuelle,28/11/2018,60.0,mois,24/07/2018,CENTRE D’AFFAIRES DE FES,Développement,D,,,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0
8,3085956,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,20/12/2018,60.0,mois,,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0
9,3088260,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,07/01/2019,60.0,mois,31/12/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0
