IDENTIFIANT_CREDIT,IDENTIFIANT_TIERS,VILLE_RC,REGION_RC,VILLE_TIERS,REGION_TIERS,DATE_CREATION_ENTREPRISE,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,PERIODICITE,DATE_ACCORD,DUREE_CONCOURS,UNITE_DUREE_CONCOURS,DATE_PREMIER_DEBLOCAGE,CENTRE_AFFAIRE,FINALITE_CREDIT,CLASSE_RISQUE,NBRE_JOUR_IMPAYE,MONTANT_DEMANDE_MEJ,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT,FLAG_SANS_INDICATEUR_FIN
3068790,01A1005,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,03/11/2009,4521,45,452,0,108,23,6.0,Mensuelle,16/07/2018,47.0,mois,05/05/2018,CENTRE D’AFFAIRES DE FES,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,3906402.5,1695068.375,2211334.125,5883377.5,13291152.875,0.0,0.0,0.0,26379227.875,0.0,0.0,0.0,140014.875,28730576.875,9769794.0,6173507.5,15634118.5,2553425.875,705329.625,395144.75,11684172.5,1844092.25,573823.25,-85960.875,261261.0,0.0,0.0,0.0,0.0,6262381.125,1726349.625,7988730.75,3016013.0,18091573.5,2650272.625,28730576.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31680.25,0,0
3066431,01A1007,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,24/08/2010,5121,51,512,0,52,22,5.0,Mensuelle,21/06/2018,60.0,mois,07/09/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,A,,,0.0,0.0,0.0,0.0,0.0,0.0,21006128.0,5829752.5,15176375.5,12457516.5,27954641.0,0.0,0.0,0.0,48770507.5,0.0,0.0,0.0,17783051.0,81729934.0,105097007.71428572,64745864.14285714,204507589.0,14905891.0,9430707.0,4936717.5,179654046.0,5384665.0,7887880.0,-3127267.0,3366077.0,0.0,0.0,0.0,0.0,16777189.0,3438149.0,20215338.0,26984457.5,32699524.0,28815000.5,81729862.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408554.71428571426,0,0
3120096,01A1125,,Autres,,Autres,,5165,51,516,2,0,1,5.5,Mensuelle,27/08/2019,7.0,an(s),21/10/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,28.571428571428573,0.0,0.0,0.2857142857142857,0.0,0.0,5419414.0,764478.0,4654936.0,4559054.5,15344329.0,28.571428571428573,0.0,0.0,22358693.5,28.571428571428573,0.0,0.0,1677962.0,28691591.5,19270925.35714286,9889673.92857143,35685364.0,7449227.5,5159654.5,3740236.5,27002690.0,2128126.0,4443796.5,-368725.5,3015155.0,18.571428571428573,0.0,0.0,0.42857142857142855,8345337.0,2411123.0,10756460.0,12418763.5,17619602.0,315529.5,28691591.5,28.571428571428573,0.0,0.0,11.16302857142857,0.0,0.0,10.642385714285714,23.714285714285715,0.0,0.0,0.2857142857142857,71031.71428571429,0,0
3073304,01A1326,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,27/06/2007,1725,17,172,0,50,35,5.95,Trimestrielle,29/08/2018,84.0,mois,,,Développement,,,2455534.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3059883,01A1348,FES,Fès-Meknès,FES,Fès-Meknès,04/07/2003,4521,45,452,0,45,4,6.0,Mensuelle,13/04/2018,84.0,mois,09/07/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2999287.933333333,1109233.125,2068305.9333333333,1402964.0625,18935041.125,0.0,0.0,0.0,19217585.4,0.0,0.0,0.0,277902.625,21483320.8,8818212.6,4570464.2,15586447.866666667,3459188.2,944792.7333333333,521264.6,12156519.375,2774208.9375,724438.7333333333,-485372.4,300910.6,0.0,0.0,0.0,0.0,3905651.2666666666,1179621.7333333334,5085273.0,4544540.0,7643602.266666667,10177855.1875,21483320.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34589.75,0,0
3038368,01A1395,MARRAKECH,Marrakech-Safi,MARRAKECH,Marrakech-Safi,08/07/1999,5147,51,514,6,20,4,6.5,Mensuelle,09/03/2018,120.0,mois,,CENTRE D’AFFAIRES DE MARRAKECH,Développement,B,,,33.333333333333336,16.666666666666668,0.0,33.333333333333336,16.666666666666668,0.0,3311641.6666666665,837136.3,2614028.0833333335,6148976.166666667,8023432.083333333,25.0,8.333333333333334,0.0,15582817.25,27.666666666666668,11.0,0.0,1112694.9166666667,19309540.25,17851500.333333332,14090743.25,21469865.083333332,2754918.8333333335,1445444.0,834333.5,17562044.5,1257589.6666666667,1302634.6666666667,-260093.16666666666,691524.1666666666,16.666666666666668,11.666666666666666,0.0,0.5,5833410.916666667,2884381.5,8717792.416666666,4863859.0,9354345.0,1237402.8333333333,19309540.25,33.333333333333336,16.666666666666668,0.0,13.503883333333334,6.500533333333333,0.0,13.218850000000002,16.5,11.0,0.0,0.3333333333333333,42095.833333333336,0,0
3051380,01A1414,BERRECHID,Casablanca-Settat,BERRECHID,Casablanca-Settat,12/07/2011,1564,15,156,1,10,22,1.0,Mensuelle,23/01/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
3083190,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,2,63,24,0.7,Mensuelle,28/11/2018,60.0,mois,24/07/2018,CENTRE D’AFFAIRES DE FES,Développement,D,,,0.0,0.0,0.0,0.0,0.0,0.0,8673541.305,3768250.915,4905290.390000001,13085619.69,14380541.89,0.0,0.0,0.0,28052833.38,0.0,0.0,0.0,973437.465,33931561.235,18241510.425714284,11531132.57142857,39210637.18,4978083.825,1641213.145,985989.29,29271430.759999998,3222138.9200000004,975782.665,-350528.03500000003,320558.81,0.0,0.0,0.0,0.0,12739776.334999999,2239945.565,14979721.9,4383846.61,12974503.685,5977328.5,33931554.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70862.56571428572,0,0
3085956,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,20/12/2018,60.0,mois,,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,8673541.305,3768250.915,4905290.390000001,13085619.69,14380541.89,0.0,0.0,0.0,28052833.38,0.0,0.0,0.0,973437.465,33931561.235,18241510.425714284,11531132.57142857,39210637.18,4978083.825,1641213.145,985989.29,29271430.759999998,3222138.9200000004,975782.665,-350528.03500000003,320558.81,0.0,0.0,0.0,0.0,12739776.334999999,2239945.565,14979721.9,4383846.61,12974503.685,5977328.5,33931554.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70862.56571428572,0,0
3088260,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,07/01/2019,60.0,mois,31/12/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,8673541.305,3768250.915,4905290.390000001,13085619.69,14380541.89,0.0,0.0,0.0,28052833.38,0.0,0.0,0.0,973437.465,33931561.235,18241510.425714284,11531132.57142857,39210637.18,4978083.825,1641213.145,985989.29,29271430.759999998,3222138.9200000004,975782.665,-350528.03500000003,320558.81,0.0,0.0,0.0,0.0,12739776.334999999,2239945.565,14979721.9,4383846.61,12974503.685,5977328.5,33931554.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70862.56571428572,0,0
3088383,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,08/01/2019,60.0,mois,31/12/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,8673541.305,3768250.915,4905290.390000001,13085619.69,14380541.89,0.0,0.0,0.0,28052833.38,0.0,0.0,0.0,973437.465,33931561.235,18241510.425714284,11531132.57142857,39210637.18,4978083.825,1641213.145,985989.29,29271430.759999998,3222138.9200000004,975782.665,-350528.03500000003,320558.81,0.0,0.0,0.0,0.0,12739776.334999999,2239945.565,14979721.9,4383846.61,12974503.685,5977328.5,33931554.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70862.56571428572,0,0
3080085,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,4030,40,403,5,4,22,1.0,Mensuelle,30/10/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,16806039.25,8185844.333333333,8620194.916666666,361361.0,9712536.166666666,0.0,0.0,0.0,12456777.666666666,0.0,0.0,0.0,411327.5833333333,21488300.166666668,8719177.333333334,5241833.0,18076725.333333332,2766096.6666666665,-374374.0,335835.5,11679250.916666666,3258588.6666666665,-1661826.8333333333,-187687.5,-1902066.8333333333,0.0,0.0,0.0,0.0,6891134.25,6274935.333333333,13166069.583333334,4514760.25,8116108.0,206122.58333333334,21488300.166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35429.166666666664,0,0
3080094,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,4030,40,403,5,4,22,1.0,Mensuelle,30/10/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,16806039.25,8185844.333333333,8620194.916666666,361361.0,9712536.166666666,0.0,0.0,0.0,12456777.666666666,0.0,0.0,0.0,411327.5833333333,21488300.166666668,8719177.333333334,5241833.0,18076725.333333332,2766096.6666666665,-374374.0,335835.5,11679250.916666666,3258588.6666666665,-1661826.8333333333,-187687.5,-1902066.8333333333,0.0,0.0,0.0,0.0,6891134.25,6274935.333333333,13166069.583333334,4514760.25,8116108.0,206122.58333333334,21488300.166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35429.166666666664,0,0
3084034,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,5166,51,516,5,4,23,1.0,Mensuelle,05/12/2018,60.0,mois,05/03/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,16806039.25,8185844.333333333,8620194.916666666,361361.0,9712536.166666666,0.0,0.0,0.0,12456777.666666666,0.0,0.0,0.0,411327.5833333333,21488300.166666668,8719177.333333334,5241833.0,18076725.333333332,2766096.6666666665,-374374.0,335835.5,11679250.916666666,3258588.6666666665,-1661826.8333333333,-187687.5,-1902066.8333333333,0.0,0.0,0.0,0.0,6891134.25,6274935.333333333,13166069.583333334,4514760.25,8116108.0,206122.58333333334,21488300.166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35429.166666666664,0,0
3090807,01A1544,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,23/04/2002,1744,17,174,10,500,23,1.0,Mensuelle,11/02/2019,60.0,mois,05/02/2020,CENTRE D’AFFAIRES DE CASABLANCA,Développement,A,,,0.0,0.0,0.0,0.0,0.0,0.0,21937916.0,7448023.916666667,14489892.083333334,17488220.75,8069728.333333333,0.0,0.0,0.0,29908128.25,0.0,0.0,0.0,3926339.0833333335,48324359.416666664,71074221.75,39114766.0,81812897.83333333,22357251.583333332,3780610.1666666665,2386467.4166666665,55251696.5,18550198.333333332,2678425.75,-1316815.5,800382.9166666666,0.0,0.0,0.0,0.0,21903131.25,7448023.916666667,29351155.166666668,11551122.916666666,15398049.333333334,3575154.9166666665,48324359.416666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164152.83333333334,0,0
3068520,01A1598,RABAT,Rabat-Salé-Kénitra,RABAT,Rabat-Salé-Kénitra,05/11/1998,5211,52,521,0,0,36,6.5,Mensuelle,12/07/2018,180.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
3071357,01A1647,INZEGANE,Souss-Massa,AIT MELLOUL,Souss-Massa,06/10/2020,2956,29,295,0,15,22,7.0,Mensuelle,07/08/2018,48.0,mois,10/09/2018,CENTRE D’AFFAIRES D'AGADIR,Développement,B,,,28.571428571428573,0.0,0.0,28.571428571428573,0.0,0.0,12492122.5,4541465.5,7950657.0,4059627.0,11340186.0,28.571428571428573,0.0,0.0,23170218.5,28.571428571428573,0.0,0.0,79937.0,31200812.5,17206985.57142857,11509209.285714285,29000185.5,5212064.0,1653795.0,703560.0,20574196.5,3498423.5,875446.0,-221149.5,-74789.0,8.571428571428571,0.0,0.0,0.42857142857142855,2136634.5,2260973.0,4397607.5,13102875.5,24713760.5,2089444.5,31200812.5,21.428571428571427,0.0,0.0,10.650899999999998,0.0,0.0,10.023671428571431,14.142857142857142,0.0,0.0,0.42857142857142855,56612.28571428572,0,0
3120640,01A1647,INZEGANE,Souss-Massa,AIT MELLOUL,Souss-Massa,06/10/2020,2953,29,295,10,15,23,1.0,Mensuelle,16/09/2019,48.0,mois,05/08/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,,,28.571428571428573,0.0,0.0,28.571428571428573,0.0,0.0,12492122.5,4541465.5,7950657.0,4059627.0,11340186.0,28.571428571428573,0.0,0.0,23170218.5,28.571428571428573,0.0,0.0,79937.0,31200812.5,17206985.57142857,11509209.285714285,29000185.5,5212064.0,1653795.0,703560.0,20574196.5,3498423.5,875446.0,-221149.5,-74789.0,8.571428571428571,0.0,0.0,0.42857142857142855,2136634.5,2260973.0,4397607.5,13102875.5,24713760.5,2089444.5,31200812.5,21.428571428571427,0.0,0.0,10.650899999999998,0.0,0.0,10.023671428571431,14.142857142857142,0.0,0.0,0.42857142857142855,56612.28571428572,0,0
3066192,01A1692,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,21/11/2012,7470,74,747,5,4070,23,1.0,Mensuelle,20/06/2018,4.0,an(s),05/08/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2982336.5,2257040.5,725296.0,4058840.5,51252415.5,0.0,0.0,0.0,65888966.0,0.0,0.0,0.0,716639.0,67279712.5,44329440.21428572,30989346.214285713,79154933.0,68179683.0,1598239.5,594880.0,4749173.0,66552843.5,1220791.0,-695409.0,217431.5,0.0,0.0,0.0,0.0,5524519.0,4517870.5,10042389.5,4175099.5,49338789.5,7898533.5,67279712.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156555.14285714287,0,0
3056937,01A1727,RABAT,Rabat-Salé-Kénitra,RABAT,Rabat-Salé-Kénitra,30/01/2014,6220,62,622,2,30,22,5.0,Mensuelle,30/03/2018,84.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,5282181.923076923,3101670.0,3095537.3076923075,670741.5,9258678.0,0.0,0.0,0.0,13744720.307692308,0.0,0.0,0.0,7482761.0,22293384.846153848,21223161.46153846,9699977.23076923,42510564.23076923,11059401.307692308,6357385.461538462,5026195.615384615,30055311.0,5697978.0,5485127.692307692,-385954.3846153846,4153937.846153846,0.0,0.0,0.0,0.0,8647652.615384616,2406998.769230769,11054651.384615384,6756607.0,11229570.461538462,9926.583333333334,22293384.846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118619.28571428571,0,0
3117669,01A1734,FES,Fès-Meknès,CASABLANCA,Casablanca-Settat,17/08/2007,4521,45,452,20,60,23,5.0,Mensuelle,31/07/2019,60.0,mois,25/10/2019,CENTRE D’AFFAIRES DE FES,Développement,D,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,4582510.79,1363318.385,3219192.4050000003,5983620.5,13350150.385,0.0,0.0,0.0,20057205.740000002,0.0,0.0,0.0,122697.575,23399095.72,10690453.107142856,7015478.214285715,25357683.065,4608024.85,1770675.3349999997,855901.2605,16982893.07,2778429.225,1387080.695,-604703.385,471663.1205,0.0,0.0,0.0,0.0,7327449.9155,2155005.71,9482455.6255,3641482.13,7776835.495,6139797.234999999,23399088.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49239.688571428575,1,0
3105592,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,3,660,24,1.0,Mensuelle,07/05/2019,48.0,mois,07/05/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2690.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1,0
3116171,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,1,660,24,5.0,Mensuelle,22/07/2019,48.0,mois,22/07/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2639.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1,0
3120955,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,15,660,26,6.25,Quadrimestrielle,02/09/2019,2.0,an(s),18/09/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2309.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1,0
3106001,01A1836,RABAT,Rabat-Salé-Kénitra,,Autres,16/07/2008,5532,55,553,4,40,36,7.95,Mensuelle,09/05/2019,83.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,D,,,,,,,,,5726000.0,2581000.0,3145000.0,828000.0,2345000.0,,,,4874000.0,,,,40000.0,8059000.0,8784000.0,7894000.0,9326000.0,2074000.0,1502000.0,1170000.0,6443000.0,517000.0,702000.0,-222000.0,370000.0,,,,,1382000.0,3547000.0,4929000.0,2082000.0,2542000.0,588000.0,8059000.0,,,,,,,,,,,,,0,0
3077388,01A1871,LARACHE,Tanger-Tétouan-Al Hoceima,,Autres,13/06/2014,117,1,11,0,155,34,6.5,Mensuelle,11/10/2018,36.0,mois,,CENTRE D’AFFAIRES DE TANGER,Développement,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
3101522,01A1883,MARRAKECH,Marrakech-Safi,MARRAKECH,Marrakech-Safi,07/10/2010,6022,60,602,2,26,23,7.5,Mensuelle,04/06/2019,48.0,mois,,CENTRE D’AFFAIRES DE MARRAKECH,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2348095.75,1803968.8333333333,544126.9166666666,0.0,2690938.25,0.0,0.0,0.0,2778609.1666666665,0.0,0.0,0.0,332665.6666666667,3655401.75,2693677.9166666665,2086666.5833333333,4466044.916666667,737820.4166666666,229812.91666666666,338588.25,2473888.0833333335,484817.6666666667,98348.25,-12095.416666666666,207123.58333333334,0.0,0.0,0.0,0.0,1691189.5,398815.0833333333,2090004.5833333333,418501.4166666667,1560892.6666666667,6006.0,3655401.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8899.333333333334,0,0
3057988,01A1889,SEFROU,Fès-Meknès,SEFROU,Fès-Meknès,28/04/2015,2670,26,267,0,64,28,7.0,Trimestrielle,30/03/2018,7.0,an(s),07/09/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,6094588.5,2500297.8,3594290.7,441040.6,1756955.2,0.0,0.0,0.0,6127020.9,0.0,0.0,0.0,1568366.8,11289678.4,9030387.1,5555335.6,15750134.4,4260456.2,2707504.8,2361559.2,8413705.3,1534032.5,1950048.1,-210410.2,1560859.3,0.0,0.0,0.0,0.0,5508102.6,2070268.2,7578370.8,2592489.9,3700096.4,18685.333333333332,11289678.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31304.8,0,0
3063106,01A1928,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,01/01/1990,2523,25,252,2,0,22,1.0,Mensuelle,18/05/2018,84.0,mois,18/10/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,25149424.3,10153476.666666666,16011295.3,8976968.0,14273859.6,0.0,0.0,0.0,26995268.3,0.0,0.0,0.0,332031.7,43338595.3,21393524.0,15311097.1,28536007.5,7597890.3,3406503.1,2603400.8,14948133.2,4093589.5,1083782.7,-746145.4,280680.4,0.0,0.0,0.0,0.0,11331119.8,2578075.5,13909195.3,11796384.6,21969447.5,7459952.5,43338595.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57015.0,0,0
3099702,01A1928,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,01/01/1990,2523,25,252,5,0,24,1.0,Mensuelle,01/04/2019,48.0,mois,31/12/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,25149424.3,10153476.666666666,16011295.3,8976968.0,14273859.6,0.0,0.0,0.0,26995268.3,0.0,0.0,0.0,332031.7,43338595.3,21393524.0,15311097.1,28536007.5,7597890.3,3406503.1,2603400.8,14948133.2,4093589.5,1083782.7,-746145.4,280680.4,0.0,0.0,0.0,0.0,11331119.8,2578075.5,13909195.3,11796384.6,21969447.5,7459952.5,43338595.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57015.0,0,0
3110572,01A2261,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,03/06/2009,7134,71,713,0,60,24,1.0,Mensuelle,14/06/2019,48.0,mois,14/06/2019,CENTRE D’AFFAIRES DE FES,Développement,C,2987.0,,0.0,0.0,0.0,0.0,0.0,0.0,4191854.3333333335,1599097.5,2592756.8333333335,0.0,22180491.666666668,0.0,0.0,0.0,26451758.666666668,0.0,0.0,0.0,282782.5,29327298.0,22907885.0,14929604.666666666,23794604.166666668,1333999.3333333333,1142641.5,453453.0,19793607.166666668,135301.83333333334,1069902.1666666667,-629629.0,380713.6666666667,0.0,0.0,0.0,0.0,11643465.166666666,997997.0,12641462.166666666,5813974.833333333,10438094.333333334,6247741.5,29327298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47541.666666666664,1,0
3111007,01A2261,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,03/06/2009,5166,51,516,0,60,24,0.0,Mensuelle,18/06/2019,48.0,mois,18/06/2019,CENTRE D’AFFAIRES DE FES,Développement,B,2965.0,,0.0,0.0,0.0,0.0,0.0,0.0,4191854.3333333335,1599097.5,2592756.8333333335,0.0,22180491.666666668,0.0,0.0,0.0,26451758.666666668,0.0,0.0,0.0,282782.5,29327298.0,22907885.0,14929604.666666666,23794604.166666668,1333999.3333333333,1142641.5,453453.0,19793607.166666668,135301.83333333334,1069902.1666666667,-629629.0,380713.6666666667,0.0,0.0,0.0,0.0,11643465.166666666,997997.0,12641462.166666666,5813974.833333333,10438094.333333334,6247741.5,29327298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47541.666666666664,1,0
3111008,01A2261,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,03/06/2009,5166,51,516,0,60,24,1.0,Mensuelle,19/06/2019,48.0,mois,,CENTRE D’AFFAIRES DE FES,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,4191854.3333333335,1599097.5,2592756.8333333335,0.0,22180491.666666668,0.0,0.0,0.0,26451758.666666668,0.0,0.0,0.0,282782.5,29327298.0,22907885.0,14929604.666666666,23794604.166666668,1333999.3333333333,1142641.5,453453.0,19793607.166666668,135301.83333333334,1069902.1666666667,-629629.0,380713.6666666667,0.0,0.0,0.0,0.0,11643465.166666666,997997.0,12641462.166666666,5813974.833333333,10438094.333333334,6247741.5,29327298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47541.666666666664,0,0
