,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT,AGE_ENTREPRISE_ANS,DUREE_CONCOURS_MOIS,PERIODICITE_MOIS,FLAG_PERIODICITE_MANQUANTE,NBRE_ECHEANCES,REGION_RC_Béni Mellal-Khénifra,REGION_RC_Casablanca-Settat,REGION_RC_Dakhla-Oued Ed-Dahab,REGION_RC_Drâa-Tafilalet,REGION_RC_Fès-Meknès,REGION_RC_Guelmim-Oued Noun,REGION_RC_L'oriental,REGION_RC_Laâyoune-Sakia El Hamra,REGION_RC_Marrakech-Safi,REGION_RC_Rabat-Salé-Kénitra,REGION_RC_Souss-Massa,REGION_RC_Tanger-Tétouan-Al Hoceima,REGION_TIERS_Béni Mellal-Khénifra,REGION_TIERS_Casablanca-Settat,REGION_TIERS_Dakhla-Oued Ed-Dahab,REGION_TIERS_Drâa-Tafilalet,REGION_TIERS_Fès-Meknès,REGION_TIERS_Guelmim-Oued Noun,REGION_TIERS_L'oriental,REGION_TIERS_Laâyoune-Sakia El Hamra,REGION_TIERS_Marrakech-Safi,REGION_TIERS_Rabat-Salé-Kénitra,REGION_TIERS_Souss-Massa,REGION_TIERS_Tanger-Tétouan-Al Hoceima,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE CASABLANCA,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE FES,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE LAAYOUNE,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE MARRAKECH,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE RABAT,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE TANGER,CENTRE_AFFAIRE_CENTRE D’AFFAIRES D’OUJDA,VILLE_RC_FREQ,VILLE_TIERS_FREQ,FLAG_PAS_ASSOCIE,FLAG_DONNEES_FINANCIERES_MANQUANTES,RA1_FDR,RA3_BFDR,RA6_Tresorerie_nette,RA2_FDR_jours_CA,RA4_BFDR_jours_CA,RA5_Couverture_BFDR_FDR,RA7_TN_jours_CA,RA8_CP_sur_CapPermanents,RA9_CP_sur_TotalBilan,RA10_DLMT_sur_CAF,RA11_ChargesFin_sur_CA,RA12_ImmoNettes_sur_Bilan,RA13_AmortCumul_sur_ImmoBrutes,RA14_BeneficeNet_sur_CA,RA15_ResultatNet_sur_CP,RA16_CAF_sur_CA,RA17_DelaisCreancesClients,RA18_DelaisCreditsFournisseurs,RA19_Stocks_jours_CA,RA20_BFDR_jours_CA,EVOL_CA_N_N1,EVOL_CA_N1_N2,FLAG_RA1_FDR_NC,FLAG_RA3_BFDR_NC,FLAG_RA6_Tresorerie_nette_NC,FLAG_RA2_FDR_jours_CA_NC,FLAG_RA4_BFDR_jours_CA_NC,FLAG_RA5_Couverture_BFDR_FDR_NC,FLAG_RA7_TN_jours_CA_NC,FLAG_RA8_CP_sur_CapPermanents_NC,FLAG_RA9_CP_sur_TotalBilan_NC,FLAG_RA10_DLMT_sur_CAF_NC,FLAG_RA11_ChargesFin_sur_CA_NC,FLAG_RA12_ImmoNettes_sur_Bilan_NC,FLAG_RA13_AmortCumul_sur_ImmoBrutes_NC,FLAG_RA14_BeneficeNet_sur_CA_NC,FLAG_RA15_ResultatNet_sur_CP_NC,FLAG_RA16_CAF_sur_CA_NC,FLAG_RA17_DelaisCreancesClients_NC,FLAG_RA18_DelaisCreditsFournisseurs_NC,FLAG_RA19_Stocks_jours_CA_NC,FLAG_RA20_BFDR_jours_CA_NC,FLAG_EVOL_CA_N_N1_NC,FLAG_EVOL_CA_N1_N2_NC
0,4521,45,452,0.0,108,23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3743239.5,1559558.0,2183681.5,5644639.0,11794532.75,0.0,0.0,0.0,25540014.5,0.0,0.0,0.0,79329.25,27803025.25,6285347.0,16196.5,14188174.0,2528275.75,718718.0,464964.5,10521010.5,1806554.75,584834.2500000001,-152152.0,331080.75,0.0,0.0,0.0,0.0,6076570.5,1802550.75,7879121.25,2438185.75,15906640.75,4017263.25,27803025.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24637.0,0,8.698151950718685,47.0,1.0,0,47.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185,0,0,5695439.75,9633373.75,-3937934.0,1000.0,1000.0,59.12196389141447,-1000.0,77.12243925678894,21.855788876787788,387.6749192680301,-500.0,7.854114724439924,41.66332397379329,500.0,5.448480355819125,500.0,500.0,83.4280005708577,1000.0,1000.0,-99.60802482345048,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5121,51,512,0.0,52,22,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13299035.75,2655903.25,10643132.5,7084577.5,23872348.5,0.0,0.0,0.0,38011974.0,0.0,0.0,0.0,10633122.5,59288229.0,87445.25,69499.25,120625254.75,8935426.5,5243988.75,3149646.5,104886782.0,3641888.25,4045291.25,-1059558.5,1950949.0,0.0,0.0,0.0,0.0,8281273.0,3517514.0,11798787.0,26645869.25,30767987.25,16721204.5,59287978.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241074.5,0,7.824777549623546,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709,0,0,1155654.5,7243986.75,-6088082.0,1000.0,1000.0,15.953293951013922,-1000.0,70.18749469754815,13.967819817994565,111.67964404894326,-439.51496321676495,17.951510239916256,19.97064524020097,500.0,23.558564003384504,500.0,500.0,91.45587982668779,1000.0,1000.0,175.68621508886991,25.821861386993383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5165,51,516,2.0,0,1,5.5,50.0,0.0,0.0,0.5,0.0,0.0,2753500.75,275775.50000000093,2477725.249999999,1986734.75,11309298.0,50.0,0.0,0.0,14182418.25,50.0,0.0,0.0,161411.25,16821554.75,8498817.75,14538.25,19491221.75,3687183.5,2375873.5,1905904.0,14913648.75,1286535.25,1520519.0,-109109.0,1050549.5,15.0,0.0,0.0,1.0,3786032.250000001,1651650.0,5437682.25,8157149.0,10899138.25,484734.25,16821554.75,50.0,0.0,0.0,19.9445,0.0,0.0,18.0782,50.0,0.0,0.0,0.5,38943.5,0,11.08829568788501,84.0,1.0,0,84.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.07080745341614907,0.06031363088057901,0,0,2959957.000000001,3283280.0,-323323.0,1000.0,1000.0,90.15243902439028,-1000.0,69.62584564407015,22.5070292625597,86.65966386554622,-280.17255767971545,14.729466371115304,10.015450331727745,500.0,27.74803357789675,500.0,500.0,196.9051094890511,1000.0,1000.0,-99.54177744310377,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1725,17,172,0.0,50,35,5.95,0.0,0.0,0.0,0.0,0.0,0.0,17696941.193991903,7239049.1334043145,10494936.916722622,5711624.613972619,14751896.664327338,0.0,0.0,0.0,24672445.857143342,0.0,0.0,0.0,936626.1695394691,36100427.35440215,23689402.432255726,17889398.211046387,35463800.705205336,9473299.257317152,2502156.240714975,1764434.9040538718,21066695.29673669,7026995.2010281375,1530573.3567460796,-489449.7146318286,713223.8350885716,0.0,0.0,0.0,0.0,11248784.191388477,3574801.479138362,14823585.67052684,9532926.419230485,15913281.269093791,5395102.20245469,36094790.188847594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.173169062286105,84.0,3.0,0,28.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709,1,1,4328648.753804218,8759164.588049551,-4458476.032915221,,,49.4185114378368,,75.88436726043955,31.1596981414038,202.6031944236134,,29.071503264192945,40.90565173975922,,6.34045264762552,,,162.9042174191688,,,-100.0,32.421460760082695,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
4,4521,45,452,0.0,45,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2529777.25,680179.5,1849597.75,892641.75,14248734.5,0.0,0.0,0.0,15984218.25,0.0,0.0,0.0,34534.50000000012,17868350.5,5179012.25,9208.0,13204441.25,3183180.0,1018267.25,522772.25,9084575.5,2138636.5,928427.5,-586335.75,432932.5,0.0,0.0,0.0,0.0,3428675.249999999,772772.0,4201447.25,3540537.0,6354598.25,7312305.0,17868350.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26382.5,0,14.77618069815195,84.0,1.0,0,84.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.06459627329192547,0.06031363088057901,0,0,2351849.5,9629620.0,-7277770.5,1000.0,1000.0,24.423076923076923,-1000.0,81.60700458633627,19.188538136186654,147.82192436572524,-500.0,10.351250665247472,26.886932436442773,500.0,12.626815560907968,500.0,500.0,140.30301360806567,1000.0,1000.0,-99.49058819082731,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5147,51,514,6.0,20,4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,541290.75,0.0,541290.75,3768765.0,7293035.75,0.0,0.0,0.0,14090326.25,0.0,0.0,0.0,163162.99999999988,14794780.0,15621606.0,6026270.0,19161142.0,2546544.000000001,1343342.0,890389.5000000001,15583317.75,1156155.0,1250749.5,-159909.75,797797.0,0.0,0.0,0.0,0.0,4520015.5,204454.25,4724469.75,3431678.250000001,8604095.5,1466214.75,14794780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38062.5,0,18.6694045174538,120.0,1.0,0,120.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.08074534161490683,0.07117008443908324,0,0,4183179.0,5486230.75,-1303051.75,1000.0,1000.0,76.2486885918898,-1000.0,95.67244027755707,30.551420838971584,22.962338392355253,-420.12413793103445,3.6586603518267933,0.0,500.0,17.650315579670025,500.0,500.0,79.2773522185287,1000.0,1000.0,-99.75634707468618,159.22512599004028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1564,15,156,1.0,10,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17696941.193991903,7239049.1334043145,10494936.916722622,5711624.613972619,14751896.664327338,0.0,0.0,0.0,24672445.857143342,0.0,0.0,0.0,936626.1695394691,36100427.35440215,23689402.432255726,17889398.211046387,35463800.705205336,9473299.257317152,2502156.240714975,1764434.9040538718,21066695.29673669,7026995.2010281375,1530573.3567460796,-489449.7146318286,713223.8350885716,0.0,0.0,0.0,0.0,11248784.191388477,3574801.479138362,14823585.67052684,9532926.419230485,15913281.269093791,5395102.20245469,36094790.188847594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.535249828884326,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.012422360248447204,0.006031363088057901,1,1,4328648.753804218,8759164.588049551,-4458476.032915221,,,49.4185114378368,,75.88436726043955,31.1596981414038,202.6031944236134,,29.071503264192945,40.90565173975922,,6.34045264762552,,,162.9042174191688,,,-100.0,32.421460760082695,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
7,4521,45,452,2.0,63,24,0.7,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,9.100616016427105,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185,0,0,2201699.5,4301547.25,-2099847.75,1000.0,1000.0,51.183896678108084,-1000.0,86.78633104819718,47.970148822006564,106.47269660552392,-195.49624193643842,42.54949886467177,19.700857033680876,500.0,10.121201157742403,500.0,500.0,74.73417721518987,1000.0,1000.0,188.3283089699107,164.4853134754974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4521,45,452,0.0,63,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,9.160848733744011,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185,0,0,2201699.5,4301547.25,-2099847.75,1000.0,1000.0,51.183896678108084,-1000.0,86.78633104819718,47.970148822006564,106.47269660552392,-195.49624193643842,42.54949886467177,19.700857033680876,500.0,10.121201157742403,500.0,500.0,74.73417721518987,1000.0,1000.0,188.3283089699107,164.4853134754974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4521,45,452,0.0,63,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,9.210130047912388,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185,0,0,2201699.5,4301547.25,-2099847.75,1000.0,1000.0,51.183896678108084,-1000.0,86.78633104819718,47.970148822006564,106.47269660552392,-195.49624193643842,42.54949886467177,19.700857033680876,500.0,10.121201157742403,500.0,500.0,74.73417721518987,1000.0,1000.0,188.3283089699107,164.4853134754974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
