,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT,AGE_ENTREPRISE_JOURS,AGE_ENTREPRISE_ANS,DUREE_CONCOURS_MOIS,PERIODICITE_MOIS,FLAG_PERIODICITE_MANQUANTE,NBRE_ECHEANCES,REGION_RC_Béni Mellal-Khénifra,REGION_RC_Casablanca-Settat,REGION_RC_Dakhla-Oued Ed-Dahab,REGION_RC_Drâa-Tafilalet,REGION_RC_Fès-Meknès,REGION_RC_Guelmim-Oued Noun,REGION_RC_L'oriental,REGION_RC_Laâyoune-Sakia El Hamra,REGION_RC_Marrakech-Safi,REGION_RC_Rabat-Salé-Kénitra,REGION_RC_Souss-Massa,REGION_RC_Tanger-Tétouan-Al Hoceima,REGION_TIERS_Béni Mellal-Khénifra,REGION_TIERS_Casablanca-Settat,REGION_TIERS_Dakhla-Oued Ed-Dahab,REGION_TIERS_Drâa-Tafilalet,REGION_TIERS_Fès-Meknès,REGION_TIERS_Guelmim-Oued Noun,REGION_TIERS_L'oriental,REGION_TIERS_Laâyoune-Sakia El Hamra,REGION_TIERS_Marrakech-Safi,REGION_TIERS_Rabat-Salé-Kénitra,REGION_TIERS_Souss-Massa,REGION_TIERS_Tanger-Tétouan-Al Hoceima,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE CASABLANCA,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE FES,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE LAAYOUNE,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE MARRAKECH,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE RABAT,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE TANGER,CENTRE_AFFAIRE_CENTRE D’AFFAIRES D’OUJDA,VILLE_RC_FREQ,VILLE_TIERS_FREQ
0,4521,45,452,0,108,23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3743239.5,1559558.0,2183681.5,5644639.0,11794532.75,0.0,0.0,0.0,25540014.5,0.0,0.0,0.0,79329.25,27803025.25,6285347.0,16196.5,14188174.0,2528275.75,718718.0,464964.5,10521010.5,1806554.75,584834.25,-152152.0,331080.75,0.0,0.0,0.0,0.0,6076570.5,1802550.75,7879121.25,2438185.75,15906640.75,4017263.25,27803025.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24637.0,0,3177.0,8.698151950718685,47.0,1.0,0,47.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185
1,5121,51,512,0,52,22,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13299035.75,2655903.25,10643132.5,7084577.5,23872348.5,0.0,0.0,0.0,38011974.0,0.0,0.0,0.0,10633122.5,59288229.0,87445.25,69499.25,120625254.75,8935426.5,5243988.75,3149646.5,104886782.0,3641888.25,4045291.25,-1059558.5,1950949.0,0.0,0.0,0.0,0.0,8281273.0,3517514.0,11798787.0,26645869.25,30767987.25,16721204.5,59287978.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241074.5,0,2858.0,7.824777549623546,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
2,5165,51,516,2,0,1,5.5,50.0,0.0,0.0,0.5,0.0,0.0,2753500.75,275775.5,2477725.25,1986734.75,11309298.0,50.0,0.0,0.0,14182418.25,50.0,0.0,0.0,161411.25,16821554.75,8498817.75,14538.25,19491221.75,3687183.5,2375873.5,1905904.0,14913648.75,1286535.25,1520519.0,-109109.0,1050549.5,15.0,0.0,0.0,1.0,3786032.25,1651650.0,5437682.25,8157149.0,10899138.25,484734.25,16821554.75,50.0,0.0,0.0,19.9445,0.0,0.0,18.0782,50.0,0.0,0.0,0.5,38943.5,0,4036.0,,84.0,1.0,0,84.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,
3,1725,17,172,0,50,35,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4081.0,11.173169062286105,84.0,3.0,0,28.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
4,4521,45,452,0,45,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2529777.25,680179.5,1849597.75,892641.75,14248734.5,0.0,0.0,0.0,15984218.25,0.0,0.0,0.0,34534.5,17868350.5,5179012.25,9208.0,13204441.25,3183180.0,1018267.25,522772.25,9084575.5,2138636.5,928427.5,-586335.75,432932.5,0.0,0.0,0.0,0.0,3428675.25,772772.0,4201447.25,3540537.0,6354598.25,7312305.0,17868350.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26382.5,0,5397.0,14.77618069815195,84.0,1.0,0,84.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.06459627329192547,0.06031363088057901
5,5147,51,514,6,20,4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,541290.75,0.0,541290.75,3768765.0,7293035.75,0.0,0.0,0.0,14090326.25,0.0,0.0,0.0,163163.0,14794780.0,15621606.0,6026270.0,19161142.0,2546544.0,1343342.0,890389.5,15583317.75,1156155.0,1250749.5,-159909.75,797797.0,0.0,0.0,0.0,0.0,4520015.5,204454.25,4724469.75,3431678.25,8604095.5,1466214.75,14794780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38062.5,0,6819.0,18.6694045174538,120.0,1.0,0,120.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.08074534161490683,0.07117008443908324
6,1564,15,156,1,10,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2387.0,6.535249828884326,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.012422360248447204,0.006031363088057901
7,4521,45,452,2,63,24,0.7,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,3324.0,9.100616016427105,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185
8,4521,45,452,0,63,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,3346.0,9.160848733744011,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185
9,4521,45,452,0,63,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,3364.0,9.210130047912388,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185
